Marca,Modelo,Eficiencia_WhMi,CargaRapida_MiH,CargaRapida,Precio
Tesla ,Model 3 Long Range Dual Motor,100,584,Si,59363.6
Volkswagen ,ID.3 Pure,103,155,Si,32100.0
Polestar ,2,112,385,Si,60390.8
BMW ,iX3 ,128,347,Si,72802.8
Honda ,e ,104,118,Si,35306.79
Lucid ,Air ,111,385,Si,112350.0
Volkswagen ,e-Golf ,104,136,Si,34133.0
Peugeot ,e-208 ,101,260,Si,31759.74
Tesla ,Model 3 Standard Range Plus,95,403,Si,49626.6
Audi ,Q4 e-tron ,119,335,Si,58850.0
Mercedes ,EQC 400 4MATIC,134,273,Si,74347.88
Nissan ,Leaf ,101,142,Si,31280.38
Hyundai ,Kona Electric 64 kWh,99,236,Si,43650.65
BMW ,i4 ,110,403,Si,69550.0
Hyundai ,IONIQ Electric,95,130,Si,36871.13
Volkswagen ,ID.3 Pro S,108,366,Si,43801.52
Porsche ,Taycan Turbo S,138,484,Si,193435.67
Volkswagen ,e-Up! ,103,105,Si,22920.47
MG ,ZS EV,119,161,Si,32100.0
Mini ,Cooper SE ,96,161,Si,33898.67
Opel ,Corsa-e ,101,260,Si,31186.22
Tesla ,Model Y Long Range Dual Motor,106,577,Si,62723.4
Skoda ,Enyaq iV 50,111,142,Si,37450.0
Audi ,e-tron GT ,122,528,Si,133750.0
Tesla ,Model 3 Long Range Performance,103,565,Si,65783.6
Volkswagen ,ID.4 ,113,347,Si,48150.0
Volkswagen ,ID.3 Pro,103,304,Si,35310.0
Volvo ,XC40 P8 AWD Recharge,124,292,Si,64667.59
BMW ,i3 120 Ah,100,167,Si,40678.19
Peugeot ,e-2008 SUV ,111,236,Si,36766.27
Audi ,e-tron 50 quattro,143,279,Si,72073.06
Kia ,e-Niro 64 kWh,107,217,Si,40772.35
Renault ,Zoe ZE50 R110,102,142,Si,33366.88
Tesla ,Cybertruck Tri Motor,165,441,Si,80250.0
Mazda ,MX-30 ,110,149,Si,34931.22
Nissan ,Leaf e+,106,242,Si,39843.59
Lexus ,UX 300e,119,118,Si,53500.0
