Brand,RapidCharge,Price,Efficiency_WhMi,FastCharge_MiH
Tesla ,Yes,58808.8,10,584
Volkswagen ,Yes,31800.0,10,155
Polestar ,Yes,59826.4,9,385
BMW ,Yes,72122.40000000001,8,348
Honda ,Yes,34976.82,10,118
Lucid ,Yes,111300.0,9,385
Volkswagen ,Yes,33814.0,10,137
Peugeot ,Yes,31462.92,10,261
Tesla ,Yes,49162.8,11,404
Audi ,Yes,58300.0,8,336
Mercedes ,Yes,73653.04000000001,7,273
Nissan ,Yes,30988.04,10,143
Hyundai ,Yes,43242.7,10,236
BMW ,Yes,68900.0,9,404
Hyundai ,Yes,36526.54,11,131
Volkswagen ,Yes,43392.16,9,367
Porsche ,Yes,191627.86,7,485
Volkswagen ,Yes,22706.26,10,106
MG ,Yes,31800.0,8,162
Mini ,Yes,33581.86,10,162
Opel ,Yes,30894.76,10,261
Tesla ,Yes,62137.2,9,578
Skoda ,Yes,37100.0,9,143
Audi ,Yes,132500.0,8,528
Tesla ,Yes,65168.8,10,566
Volkswagen ,Yes,47700.0,9,348
Volkswagen ,Yes,34980.0,10,305
Volvo ,Yes,64063.22,8,292
BMW ,Yes,40298.02,10,168
Peugeot ,Yes,36422.66,9,236
Audi ,Yes,71399.48000000001,7,280
Kia ,Yes,40391.3,9,218
Renault ,Yes,33055.04,10,143
Tesla ,Yes,79500.0,6,441
Mazda ,Yes,34604.76,9,149
Nissan ,Yes,39471.22,9,242
Lexus ,Yes,53000.0,8,118
CUPRA ,Yes,47700.0,9,354
Renault ,Yes,35120.98,10,143
Mercedes ,Yes,47700.0,9,273
Tesla ,Yes,84789.40000000001,9,348
Hyundai ,Yes,36009.26,10,131
Audi ,Yes,86537.34000000001,7,379
Skoda ,Yes,26006.04,10,106
SEAT ,Yes,21336.74,10,106
Kia ,Yes,39047.22,9,211
Opel ,Yes,44420.36,9,131
Porsche ,Yes,109121.7,8,454
Lightyear ,Yes,157940.0,15,336
Aiways ,Yes,38220.420000000006,9,218
Audi ,Yes,84211.7,7,367
Tesla ,Yes,227900.0,8,572
Opel ,Yes,37100.0,9,242
Skoda ,Yes,42400.0,9,348
Tesla ,Yes,91149.4,8,305
Honda ,Yes,38076.26,10,118
DS ,Yes,39667.32,9,236
Renault ,No,26277.4,10,0
Citroen ,Yes,42400.0,9,236
Tesla ,Yes,102809.4,9,342
Renault ,Yes,30988.04,10,143
Tesla ,Yes,69557.2,9,559
Nissan ,Yes,53000.0,8,323
Jaguar ,Yes,79872.06,7,211
Ford ,Yes,57743.5,8,267
Porsche ,Yes,115860.12,8,553
Nissan ,Yes,35240.76,8,118
Tesla ,Yes,58300.0,6,441
Renault ,No,40280.0,8,0
Ford ,Yes,66674.0,8,255
BMW ,Yes,44017.560000000005,10,162
Skoda ,Yes,47700.0,8,336
Porsche ,Yes,159000.0,7,479
Byton ,Yes,67840.0,7,286
Sono ,Yes,27030.0,10,168
Kia ,Yes,36464.0,10,143
Audi ,Yes,60950.0,9,342
Smart ,No,23351.800000000003,9,0
Ford ,Yes,57240.0,8,224
Porsche ,Yes,157199.06,7,503
Volkswagen ,Yes,41326.22,9,292
Tesla ,Yes,109169.4,7,298
Smart ,No,22670.22,10,0
Ford ,Yes,49714.0,8,236
Mercedes ,Yes,74868.86,6,180
Fiat ,Yes,36994.0,10,205
Tesla ,Yes,47700.0,6,460
Audi ,Yes,73724.06,7,292
Skoda ,Yes,50350.0,8,336
Skoda ,Yes,39750.0,9,273
Audi ,Yes,99428.0,6,317
Smart ,No,26038.9,9,0
Kia ,Yes,39047.22,9,199
Nissan ,Yes,60950.0,8,311
Fiat ,Yes,40174.0,10,205
Volkswagen ,Yes,37709.5,9,292
Kia ,Yes,35120.98,9,137
Byton ,Yes,56710.0,7,261
Nissan ,Yes,47700.0,8,273
Audi ,Yes,101813.0,6,336
Nissan ,Yes,53000.0,8,273
Nissan ,Yes,68900.0,7,280
Byton ,Yes,65720.0,7,298
