hour,PULocationID,dayofweek,demanda
0,4,0,0.12
0,4,1,0.12
0,4,2,0.23
0,4,3,0.35
0,4,4,1.62
0,4,5,5.91
0,4,6,6.49
0,12,6,0.12
0,13,2,0.23
0,13,3,0.35
0,13,4,0.93
0,13,5,0.81
0,13,6,0.7
0,24,0,0.12
0,24,1,0.12
0,24,2,0.58
0,24,3,0.93
0,24,4,0.81
0,24,5,0.93
0,24,6,0.81
0,41,0,0.93
0,41,1,0.23
0,41,2,0.35
0,41,3,0.58
0,41,4,0.35
0,41,5,1.51
0,41,6,1.51
0,42,0,0.23
0,42,1,0.35
0,42,2,0.12
0,42,4,0.12
0,42,5,0.46
0,42,6,0.12
0,43,0,1.04
0,43,1,1.04
0,43,2,1.62
0,43,3,2.9
0,43,4,3.01
0,43,5,2.2
0,43,6,3.24
0,45,0,0.58
0,45,1,0.23
0,45,2,0.81
0,45,3,0.7
0,45,4,1.85
0,45,5,2.67
0,45,6,2.78
0,48,0,13.56
0,48,1,9.39
0,48,2,14.14
0,48,3,19.24
0,48,4,24.33
0,48,5,41.83
0,48,6,44.5
0,50,0,1.39
0,50,1,1.04
0,50,2,0.93
0,50,3,1.74
0,50,4,2.9
0,50,5,5.79
0,50,6,7.88
0,68,0,5.68
0,68,1,6.6
0,68,2,7.3
0,68,3,11.59
0,68,4,13.67
0,68,5,22.71
0,68,6,24.33
0,74,0,0.58
0,74,1,0.93
0,74,2,0.58
0,74,3,0.35
0,74,4,0.7
0,74,5,1.27
0,74,6,1.04
0,75,0,0.81
0,75,1,0.35
0,75,2,1.16
0,75,3,0.93
0,75,4,0.93
0,75,5,1.62
0,75,6,2.09
0,79,0,10.66
0,79,1,8.0
0,79,2,12.05
0,79,3,14.72
0,79,4,31.87
0,79,5,87.14
0,79,6,90.73
0,87,0,0.7
0,87,1,0.81
0,87,2,1.97
0,87,3,1.74
0,87,4,2.55
0,87,5,4.75
0,87,6,3.71
0,88,0,0.46
0,88,1,0.58
0,88,2,1.62
0,88,3,1.27
0,88,4,1.62
0,88,5,2.78
0,88,6,2.2
0,90,0,5.56
0,90,1,4.63
0,90,2,6.03
0,90,3,8.23
0,90,4,13.21
0,90,5,22.25
0,90,6,25.38
0,100,0,5.1
0,100,1,5.21
0,100,2,5.21
0,100,3,7.07
0,100,4,9.73
0,100,5,13.21
0,100,6,12.63
0,107,0,4.63
0,107,1,2.43
0,107,2,7.3
0,107,3,8.69
0,107,4,14.25
0,107,5,27.93
0,107,6,26.65
0,113,0,2.43
0,113,1,1.62
0,113,2,3.71
0,113,3,4.98
0,113,4,7.53
0,113,5,17.03
0,113,6,17.03
0,114,0,9.27
0,114,1,7.76
0,114,2,9.85
0,114,3,14.14
0,114,4,29.2
0,114,5,45.19
0,114,6,40.44
0,116,0,0.35
0,116,1,0.23
0,116,2,0.46
0,116,3,0.12
0,116,4,0.23
0,116,5,0.46
0,116,6,0.58
0,120,5,0.12
0,125,0,1.51
0,125,1,1.16
0,125,2,1.62
0,125,3,2.67
0,125,4,3.59
0,125,5,6.03
0,125,6,6.84
0,137,0,2.55
0,137,1,1.39
0,137,2,4.17
0,137,3,3.59
0,137,4,7.18
0,137,5,11.24
0,137,6,12.28
0,140,0,1.39
0,140,1,2.2
0,140,2,3.13
0,140,3,2.32
0,140,4,2.2
0,140,5,4.06
0,140,6,5.1
0,141,0,3.59
0,141,1,4.63
0,141,2,4.06
0,141,3,6.26
0,141,4,8.46
0,141,5,15.3
0,141,6,17.84
0,142,0,4.75
0,142,1,7.18
0,142,2,6.37
0,142,3,11.59
0,142,4,12.51
0,142,5,20.63
0,142,6,19.7
0,143,0,0.7
0,143,1,1.04
0,143,2,0.7
0,143,3,0.7
0,143,4,1.85
0,143,5,2.55
0,143,6,2.67
0,144,0,2.55
0,144,1,1.51
0,144,2,4.63
